Les (binne onderwerp);KABV-subonderwerp;KABV-strepie(s);Videoskrif se lesnaam;Lestitel (heldeteks);Begroting (woorde);Meting;Notas
1;Vervoer op land;diere;Diere as vervoer op land;Diere dra en trek die vrag;464;gemeet;"Geskryf; hek, dekking en feite alles skoon (55/55)"
2;Vervoer op land;karre, waens en koetse + die fiets;Die wiel, karre, waens, koetse en die fiets;Van die wa tot die fiets;464;gemeet;SAAMGEVOEG - twee KABV-strepies. Die wiel is aanvulling. Die enigste knap les.
3;Vervoer op land;die stoomenjin en die trein;Die stoomenjin en die trein;Stoom trek die trein;464;gemeet;"Stephenson as aanvulling; hy het NIE die lokomotief uitgevind nie"
4;Vervoer op land;die motor;Die motor;Die motor: 'n wa sonder perde;464;gemeet;"Benz 1886 as aanvulling; die eerste PRAKTIESE petrolmotor"
5;Vervoer op land;algemene vorms van vervoer van mense en goedere op grond vandag;Algemene vorms van moderne vervoer op grond;Hoe ons vandag reis en vragte vervoer;464;gemeet;'minibus-taxi' is 'n beskermde woord
6;Vervoer op water;Vlotte, kano's en rietbote + Sommige van die eerste seilskepe;Vlotte, kano's en rietbote EN sommige van die eerste seilskepe;;500;gemeet;SAAMGEVOEG. KABV noem VYF skepe by naam - almal verplig. Ou 4-les-spek moet herbeplan word.
7;Vervoer op water;Die eerste stoomskepe + Moderne vorms van vervoer van water;Die eerste stoomskepe en moderne vorms van vervoer op water;;500;gemeet;SAAMGEVOEG. Fulton as aanvulling. Die video se Titanic-helfte gaan NIE in die teks nie.
8;Vervoer in die lug;Ballonne en lugskepe;Lugballonne en lugskepe;;278;ONBETROUBAAR;Die video se skaap se naam is verkeerd: Montauciel, nie Montgolfier nie
9;Vervoer in die lug;Wright broers en die uitvinding van die eerste vliegtuig;Die Wright broers en die uitvinding van die eerste vliegtuig;;278;ONBETROUBAAR;
10;Vervoer in die lug;Moderne vorme van lugvervoer;Moderne vorme van lugvervoer;;278;ONBETROUBAAR;Die video spandeer die helfte aan ruimteverkenning, wat KABV hier nie noem nie

JAARNOMMER IS NOG NIE BESLIS NIE;;;;;;;Sosiale Wetenskappe = Geskiedenis + Geografie, apart geassesseer. Loop die nommers 1-N per dissipline of deurmekaar oor die jaar? Drico se besluit.
Gemete volume;Vervoer op land: 2321 woorde / 12 bladsye;Vervoer op water: 1001 / 6;Vervoer in die lug: 835 / 6 (ONBETROUBAAR);;;;Lug: 6 bladsye vir 'n 2-uur-subonderwerp pas nie. Land is 12 vir 6 uur, water 6 vir 4. Die bladsye moet met die oog gekarteer word.
Gevallestudie uitlaatgasse;LAAT VAAR deur Drico, 31 Aug 2026;;;;;;"KABV lys dit apart met sy eie uur; die 2321 het dit nooit ingesluit nie."
