Les,Kwartaal,Kwartaal tema,Onderwerp,Inhoud en konsepte,Konsep-rye,Nota
1,1,Lewe en lewende dinge,Fotosintese,Plante en voedsel,1,
2,1,Lewe en lewende dinge,Fotosintese,Plante en lug,2,Dun; bewustelik kort. Dra die suurstof/koolstofdioksied-kringloop tussen plante en diere.
3,1,Lewe en lewende dinge,Voedingstowwe in voedsel,Voedselgroepe,3,Een les; verdeel as die konsep bo 550 woorde kom.
4,1,Lewe en lewende dinge,Voedingstowwe,Gebalanseerde diete,4,
5,1,Lewe en lewende dinge,Voedselverwerking,Noodsaaklikheid vir die verwerking van voedsel + Metodes vir die verwerking van voedsel,5+6,"Saamgevoeg (Drico, 22 Sep 2026). Die verwerkingstaak self is praktiese werk; ons les leer die denke."
6,1,Lewe en lewende dinge,Ekostelsels en voedselwebbe,Verskillende ekostelsels + Lewende en nie-lewende dinge in ekostelsels,7+8,Saamgevoeg (Drico).
7,1,Lewe en lewende dinge,Ekostelsels en voedselwebbe,Voedselwebbe,9,Bou voort op graad 5 se voedselkettings; gedeelde woorde vooraf vasmaak.
8,2,Materie en materiale,"Vaste stowwe, vloeistowwe en gasse",Rangskikking van deeltjies,10,KABV-fout: beskryf vloeistof-deeltjies soos 'n vaste stof ('styf gepak in 'n patroon'). Regstel.
9,2,Materie en materiale,Mengsels,Mengsels van materiale,11,
10,2,Materie en materiale,Oplossings as spesiale mengsels,Oplossings + Onoplosbare stowwe,12+15,"Wat 'n oplossing is, teenoor wat nie oplos nie."
11,2,Materie en materiale,Oplossings as spesiale mengsels,Oplosbare stowwe + Versadigde oplossings,13+14,Herwinning deur verdamping; die deeltjie-prentjie verduidelik versadiging.
12,2,Materie en materiale,Oplossing,Die tempo van oplossing,16,
13,2,Materie en materiale,Mengsels en water hulpbronne,Waterbesoedeling,17,
14,2,Materie en materiale,Mengsels en water hulpbronne,Die belangrikheid van vleilande,18,Dun; bewustelik kort (KABV assesseer dit).
15,2,Materie en materiale,Verwerking van om water skoon te maak,Skoon water,19,Ontwerp-en-maak-taak is praktiese werk; ons les leer die denke.
16,3,Energie en verandering,Elektriese stroombane,'n Eenvoudige stroombaan + Stroombaandiagramme,20+21,Saamgevoeg (Drico).
17,3,Energie en verandering,Elektriese geleiers en nie-geleiers,Geleiers + Nie-geleiers,22+23,Saamgevoeg (Drico).
18,3,Energie en verandering,Stelsels om 'n probleem op te los,Gebruik van elektriese stroombane,24,Ontwerp-en-maak-taak is praktiese werk; ons les leer die denke.
19,3,Energie en verandering,Hoofstroom elektrisiteit,Fossielbrandstowwe en elektrisiteit,25,Swaar (steenkool se vorming + kragstasie). Verdeel as bo 550.
20,3,Energie en verandering,Hoofstroom elektrisiteit,Koste van elektrisiteit + Onwettige konneksies,26+27,Onwettige konneksies aan die einde van die les (Drico).
21,3,Energie en verandering,Hoofstroom elektrisiteit,Hernubare maniere om elektrisiteit op te wek,28,
22,4,Planeet Aarde en die ruimte,Die Sonnestelsel,"Die Son, planeete en asteroides",29,
23,4,Planeet Aarde en die ruimte,Die Sonnestelsel,Maan,30,"Baie kort les, minimum woorde (Drico). KABV-fout: mane gee NIE hul eie lig af nie."
24,4,Planeet Aarde en die ruimte,Bewegings van die Aarde en planeete,Rotasie (Aarde) + Rewolusie (Aarde),31+32,Saamgevoeg (Drico).
25,4,Planeet Aarde en die ruimte,Die beweging van die Maan,Rotasie (Maan) + Rewolusie (Maan),33+34,Saamgevoeg (Drico). KABV noem die draai 'n 'omwenteling'; hou rotasie en wentelbaan uitmekaar.
26,4,Planeet Aarde en die ruimte,Stelsels om in die ruimte in te kyk + Stelsels om die Maan en Mars te verken,Teleskope + Voertuie op die Maan + Voertuie op Mars,35+36+37,Saamgevoeg (Drico). Rover-model is praktiese werk.
